"Name" -> "Traffic_Accidents_since_2011__counted_by_Street_and_Block"
"ResourceType" -> "DataResource"
"Title" -> "Traffic Accidents in Urbana"
"Description" -> "A table of amounts of traffic accidents group by street and block since 2011"
"Publisher" -> "City of Urbana"
"Source" -> "https://data.urbanaillinois.us/Police/Traffic-Accidents-since-2011-counted-by-Street-and/69bg-enq9"
"Date" -> "2011-"
"Keywords" -> "Text, Traffic, Accident, Urbana"
"Categories" -> "Crime and Public Safety"
"ContentLocation" -> "Urbana, Illinois"
STREET,HOUSE NUMBER BLOCK,INCIDENT
CHURCH ST,1100 BLOCK,1
WILLOW,1700 BLOCK,3
AMBER LANE,1900 BLOCK,1
W FLORIDA AV,1 BLOCK,8
S WALNUT ST,1 BLOCK,2
N LINCOLN,100 BLOCK,3
E WASHINGTON,1 BLOCK,10
MATHEWS ST,800 BLOCK,2
E ILLINOIS ST,700 BLOCK,4
S VINE,100 BLOCK,4
W WINDSOR RD,500 BLOCK,1
BUSEY N AV,500 BLOCK,1
NEVADA W BL,1100 BLOCK,2
GREEN ST E BLK,400 BLOCK,2
E WINDSOR,1600 BLOCK,3
SPRINGFIELD AVE,900 BLOCK,1
LINCOLN,100 BLOCK,2
E MUMFORD,1 BLOCK,1
W GEORGE HUFF,100 BLOCK,1
BIRCH ST,1 BLOCK,3
S MATHEWS AV,700 BLOCK,2
W HIGH ST,500 BLOCK,2
ELM WST,1 BLOCK,1
NEVADA ST,1 BLOCK,1
W PARK ST,400 BLOCK,3
S ANDERSON ST,2100 BLOCK,3
BESLIN ST,1 BLOCK,5
E UNIVERSITY,100 BLOCK,17
LAUREL DR,1400 BLOCK,1
W MAIN ST,1 BLOCK,4
ANDERSON ST,1600 BLOCK,3
S LINCOLN,700 BLOCK,4
S GOODWIN,700 BLOCK,1
S VINE ST,500 BLOCK,2
N LINCOLN AVE,1300 BLOCK,45
E OREGON ST,1 BLOCK,4
E FLORIDA AV,1600 BLOCK,11
N CUNNINGHAM AV,800 BLOCK,2
S PHILO,2200 BLOCK,1
S COLER AVE,800 BLOCK,2
S COTTAGE,1400 BLOCK,1
W NEVADA ST,800 BLOCK,5
EUREKA ST,1300 BLOCK,2
E GREEN,1100 BLOCK,1
N LINCOLN AV,1 BLOCK,44
GRIGGS ST,500 BLOCK,2
S VINE,1600 BLOCK,1
